,playback_duration_sec,rebuffer_duration_sec,video_duration_sec,N_playback_frames,height,width,rebuffer_number,content_spatial_information,content_temporal_information,frame_rate,N_rebuffer_frames,N_total_frames,throughput_trace_name
0,27.533333333333335,0.03333333333333333,27.566666666666666,826,1080,1920,1,46.559426250657445,6.704285474180124,30.0,1,827,Train_vestby_oslo
0,27.133333333333333,4.3,31.433333333333334,814,1080,1920,3,24.465410465044613,9.669711446285113,30.0,129,943,Bus_ljansbakken_oslo
0,26.633333333333333,0.0,26.633333333333333,799,1080,1920,0,36.516496571081376,3.111321647896646,30.0,0,799,Train_vestby_oslo
0,27.933333333333334,0.0,27.933333333333334,838,1080,1920,0,51.2398822772529,12.835748041155938,30.0,0,838,Ferry_nesoddtangen_oslo
0,25.0,4.32,29.32,625,1080,1920,3,92.9468199053504,30.131945716916807,25.0,108,733,Bus_ljansbakken_oslo
0,27.0,0.9166666666666666,27.916666666666668,648,1080,1920,2,34.61757824674989,21.4034009946156,24.0,22,670,Tram_ljabru_jernbanetorget
0,27.933333333333334,0.0,27.933333333333334,838,1080,1920,0,51.2398822772529,12.835748041155938,30.0,0,838,Car_snaroya_smestad
0,26.066666666666666,0.0,26.066666666666666,782,1080,1920,0,64.01331619785371,24.66584142488366,30.0,0,782,Train_vestby_oslo
0,26.401374999999998,1.4597916666666666,27.861166666666666,633,1080,1920,2,48.80988581524824,30.562098419365153,23.976023976023978,35,668,Metro_kalbakken_jernbanetorget
0,27.133333333333333,0.0,27.133333333333333,814,1080,1920,0,24.465410465044613,9.669711446285113,30.0,0,814,Ferry_nesoddtangen_oslo
0,27.533333333333335,0.0,27.533333333333335,826,1080,1920,0,46.559426250657445,6.704285474180124,30.0,0,826,Ferry_nesoddtangen_oslo
0,25.0,0.0,25.0,625,1080,1920,0,92.9468199053504,30.131945716916807,25.0,0,625,Metro_kalbakken_jernbanetorget
0,26.625,0.0,26.625,639,1080,1920,0,43.56221475321591,11.106231569191065,24.0,0,639,Car_snaroya_smestad
0,26.401374999999998,2.2105416666666664,28.611916666666666,633,1080,1920,4,48.80988581524824,30.562098419365153,23.976023976023978,53,686,Car_snaroya_smestad
0,27.033333333333335,0.0,27.033333333333335,811,1080,1920,0,14.2797843224242,6.6985359883237345,30.0,0,811,Tram_jernbanetorget_ljabru
0,26.625,0.625,27.25,639,1080,1920,1,43.56221475321591,11.106231569191065,24.0,15,654,Metro_kalbakken_jernbanetorget
0,26.066666666666666,0.0,26.066666666666666,782,1080,1920,0,64.01331619785371,24.66584142488366,30.0,0,782,Ferry_nesoddtangen_oslo
0,27.694333333333333,0.0,27.694333333333333,664,1080,1920,0,72.4592681682656,30.94810643457089,23.976023976023978,0,664,Ferry_nesoddtangen_oslo
0,25.0,4.32,29.32,625,1080,1920,3,92.9468199053504,30.131945716916807,25.0,108,733,Bus_ljansbakken_oslo
0,27.0,0.0,27.0,648,1080,1920,0,34.61757824674989,21.4034009946156,24.0,0,648,Tram_jernbanetorget_ljabru
0,27.0,0.0,27.0,648,1080,1920,0,34.61757824674989,21.4034009946156,24.0,0,648,Metro_kalbakken_jernbanetorget
0,27.694333333333333,1.626625,29.32095833333333,664,1080,1920,4,72.4592681682656,30.94810643457089,23.976023976023978,39,703,Tram_ljabru_jernbanetorget
0,27.166666666666668,0.1,27.266666666666666,815,1080,1920,1,57.92489190208584,8.566515536550902,30.0,3,818,Car_snaroya_smestad
0,26.625,0.0,26.625,639,1080,1920,0,43.56221475321591,11.106231569191065,24.0,0,639,Train_vestby_oslo
0,26.466666666666665,0.1,26.566666666666666,794,1080,1920,1,32.45626741582569,23.969860687024266,30.0,3,797,Train_vestby_oslo
0,27.166666666666668,0.4,27.566666666666666,815,1080,1920,1,57.92489190208584,8.566515536550902,30.0,12,827,Train_vestby_oslo
0,27.0,0.0,27.0,648,1080,1920,0,34.61757824674989,21.4034009946156,24.0,0,648,Train_vestby_oslo
0,27.533333333333335,0.0,27.533333333333335,826,1080,1920,0,46.559426250657445,6.704285474180124,30.0,0,826,Tram_jernbanetorget_ljabru
0,27.0,1.7666666666666666,28.766666666666666,810,1080,1920,2,45.25730181933437,6.47053159800503,30.0,53,863,Metro_kalbakken_jernbanetorget
0,25.0,0.0,25.0,625,1080,1920,0,92.9468199053504,30.131945716916807,25.0,0,625,Ferry_nesoddtangen_oslo
0,27.133333333333333,2.7,29.833333333333332,814,1080,1920,3,24.465410465044613,9.669711446285113,30.0,81,895,Bus_ljansbakken_oslo
0,26.401374999999998,0.0,26.401374999999998,633,1080,1920,0,48.80988581524824,30.562098419365153,23.976023976023978,0,633,Tram_jernbanetorget_ljabru
0,26.466666666666665,5.633333333333334,32.1,794,1080,1920,3,32.45626741582569,23.969860687024266,30.0,169,963,Bus_ljansbakken_oslo
0,27.133333333333333,0.0,27.133333333333333,814,1080,1920,0,24.465410465044613,9.669711446285113,30.0,0,814,Metro_kalbakken_jernbanetorget
0,27.933333333333334,0.0,27.933333333333334,838,1080,1920,0,51.2398822772529,12.835748041155938,30.0,0,838,Train_vestby_oslo
0,26.466666666666665,0.9,27.366666666666667,794,1080,1920,2,32.45626741582569,23.969860687024266,30.0,27,821,Tram_ljabru_jernbanetorget
0,26.466666666666665,5.633333333333334,32.1,794,1080,1920,3,32.45626741582569,23.969860687024266,30.0,169,963,Bus_ljansbakken_oslo
0,27.0,0.875,27.875,648,1080,1920,3,34.61757824674989,21.4034009946156,24.0,21,669,Metro_kalbakken_jernbanetorget
0,27.166666666666668,0.26666666666666666,27.433333333333334,815,1080,1920,1,57.92489190208584,8.566515536550902,30.0,8,823,Car_snaroya_smestad
0,26.625,0.0,26.625,639,1080,1920,0,43.56221475321591,11.106231569191065,24.0,0,639,Metro_kalbakken_jernbanetorget
0,27.033333333333335,0.0,27.033333333333335,811,1080,1920,0,14.2797843224242,6.6985359883237345,30.0,0,811,Ferry_nesoddtangen_oslo
0,26.466666666666665,0.1,26.566666666666666,794,1080,1920,1,32.45626741582569,23.969860687024266,30.0,3,797,Train_vestby_oslo
0,26.633333333333333,0.0,26.633333333333333,799,1080,1920,0,36.516496571081376,3.111321647896646,30.0,0,799,Car_snaroya_smestad
0,25.0,0.0,25.0,625,1080,1920,0,92.9468199053504,30.131945716916807,25.0,0,625,Train_vestby_oslo
0,27.0,5.0,32.0,648,1080,1920,3,34.61757824674989,21.4034009946156,24.0,120,768,Bus_ljansbakken_oslo
0,27.694333333333333,4.129124999999999,31.82345833333333,664,1080,1920,3,72.4592681682656,30.94810643457089,23.976023976023978,99,763,Bus_ljansbakken_oslo
0,27.133333333333333,0.0,27.133333333333333,814,1080,1920,0,24.465410465044613,9.669711446285113,30.0,0,814,Metro_kalbakken_jernbanetorget
0,27.133333333333333,1.4,28.533333333333335,814,1080,1920,2,24.465410465044613,9.669711446285113,30.0,42,856,Tram_ljabru_jernbanetorget
0,27.533333333333335,1.5,29.033333333333335,826,1080,1920,2,46.559426250657445,6.704285474180124,30.0,45,871,Tram_ljabru_jernbanetorget
0,26.633333333333333,0.0,26.633333333333333,799,1080,1920,0,36.516496571081376,3.111321647896646,30.0,0,799,Ferry_nesoddtangen_oslo
0,27.0,0.0,27.0,648,1080,1920,0,69.11774877987803,31.887388545502258,24.0,0,648,Ferry_nesoddtangen_oslo
0,26.401374999999998,0.37537499999999996,26.77675,633,1080,1920,1,48.80988581524824,30.562098419365153,23.976023976023978,9,642,Train_vestby_oslo
0,27.133333333333333,0.0,27.133333333333333,814,1080,1920,0,24.465410465044613,9.669711446285113,30.0,0,814,Ferry_nesoddtangen_oslo
0,26.625,1.4583333333333333,28.083333333333332,639,1080,1920,2,43.56221475321591,11.106231569191065,24.0,35,674,Tram_ljabru_jernbanetorget
0,26.066666666666666,0.0,26.066666666666666,782,1080,1920,0,64.01331619785371,24.66584142488366,30.0,0,782,Tram_ljabru_jernbanetorget
0,27.0,0.0,27.0,810,1080,1920,0,45.25730181933437,6.47053159800503,30.0,0,810,Ferry_nesoddtangen_oslo
0,27.166666666666668,0.0,27.166666666666668,815,1080,1920,0,57.92489190208584,8.566515536550902,30.0,0,815,Tram_jernbanetorget_ljabru
0,26.625,0.0,26.625,639,1080,1920,0,43.56221475321591,11.106231569191065,24.0,0,639,Ferry_nesoddtangen_oslo
0,27.0,0.0,27.0,648,1080,1920,0,69.11774877987803,31.887388545502258,24.0,0,648,Tram_jernbanetorget_ljabru
0,27.166666666666668,0.0,27.166666666666668,815,1080,1920,0,57.92489190208584,8.566515536550902,30.0,0,815,Train_vestby_oslo
0,27.166666666666668,6.333333333333333,33.5,815,1080,1920,3,57.92489190208584,8.566515536550902,30.0,190,1005,Bus_ljansbakken_oslo
0,27.0,0.0,27.0,648,1080,1920,0,69.11774877987803,31.887388545502258,24.0,0,648,Metro_kalbakken_jernbanetorget
0,27.0,0.06666666666666667,27.066666666666666,810,1080,1920,1,45.25730181933437,6.47053159800503,30.0,2,812,Metro_kalbakken_jernbanetorget
0,27.0,0.0,27.0,648,1080,1920,0,34.61757824674989,21.4034009946156,24.0,0,648,Train_vestby_oslo
0,27.033333333333335,0.0,27.033333333333335,811,1080,1920,0,14.2797843224242,6.6985359883237345,30.0,0,811,Tram_ljabru_jernbanetorget
0,27.694333333333333,7.75775,35.452083333333334,664,1080,1920,2,72.4592681682656,30.94810643457089,23.976023976023978,186,850,Metro_kalbakken_jernbanetorget
0,27.533333333333335,0.0,27.533333333333335,826,1080,1920,0,46.559426250657445,6.704285474180124,30.0,0,826,Tram_ljabru_jernbanetorget
0,25.0,0.0,25.0,625,1080,1920,0,92.9468199053504,30.131945716916807,25.0,0,625,Car_snaroya_smestad
0,26.625,0.6666666666666666,27.291666666666668,639,1080,1920,2,43.56221475321591,11.106231569191065,24.0,16,655,Metro_kalbakken_jernbanetorget
0,27.933333333333334,6.2,34.13333333333333,838,1080,1920,3,51.2398822772529,12.835748041155938,30.0,186,1024,Bus_ljansbakken_oslo
0,27.033333333333335,3.033333333333333,30.066666666666666,811,1080,1920,3,14.2797843224242,6.6985359883237345,30.0,91,902,Bus_ljansbakken_oslo
0,27.033333333333335,1.0666666666666667,28.1,811,1080,1920,1,14.2797843224242,6.6985359883237345,30.0,32,843,Tram_jernbanetorget_ljabru
0,26.633333333333333,5.133333333333334,31.766666666666666,799,1080,1920,3,36.516496571081376,3.111321647896646,30.0,154,953,Bus_ljansbakken_oslo
0,27.033333333333335,3.033333333333333,30.066666666666666,811,1080,1920,3,14.2797843224242,6.6985359883237345,30.0,91,902,Bus_ljansbakken_oslo
0,26.066666666666666,3.7333333333333334,29.8,782,1080,1920,3,64.01331619785371,24.66584142488366,30.0,112,894,Bus_ljansbakken_oslo
0,27.133333333333333,4.533333333333333,31.666666666666668,814,1080,1920,4,24.465410465044613,9.669711446285113,30.0,136,950,Bus_ljansbakken_oslo
0,27.933333333333334,0.0,27.933333333333334,838,1080,1920,0,51.2398822772529,12.835748041155938,30.0,0,838,Ferry_nesoddtangen_oslo
0,25.0,0.0,25.0,625,1080,1920,0,92.9468199053504,30.131945716916807,25.0,0,625,Tram_ljabru_jernbanetorget
0,27.0,0.0,27.0,648,1080,1920,0,34.61757824674989,21.4034009946156,24.0,0,648,Ferry_nesoddtangen_oslo
0,26.633333333333333,0.0,26.633333333333333,799,1080,1920,0,36.516496571081376,3.111321647896646,30.0,0,799,Metro_kalbakken_jernbanetorget
0,27.933333333333334,3.3,31.233333333333334,838,1080,1920,6,51.2398822772529,12.835748041155938,30.0,99,937,Tram_ljabru_jernbanetorget
0,27.166666666666668,0.0,27.166666666666668,815,1080,1920,0,57.92489190208584,8.566515536550902,30.0,0,815,Tram_jernbanetorget_ljabru
0,27.133333333333333,0.43333333333333335,27.566666666666666,814,1080,1920,1,24.465410465044613,9.669711446285113,30.0,13,827,Tram_jernbanetorget_ljabru
0,27.694333333333333,0.4170833333333333,28.111416666666663,664,1080,1920,1,72.4592681682656,30.94810643457089,23.976023976023978,10,674,Train_vestby_oslo
0,26.066666666666666,0.3333333333333333,26.4,782,1080,1920,1,64.01331619785371,24.66584142488366,30.0,10,792,Metro_kalbakken_jernbanetorget
0,27.0,0.0,27.0,648,1080,1920,0,34.61757824674989,21.4034009946156,24.0,0,648,Tram_jernbanetorget_ljabru
0,27.133333333333333,0.0,27.133333333333333,814,1080,1920,0,24.465410465044613,9.669711446285113,30.0,0,814,Tram_ljabru_jernbanetorget
0,27.694333333333333,5.005,32.69933333333333,664,1080,1920,3,72.4592681682656,30.94810643457089,23.976023976023978,120,784,Bus_ljansbakken_oslo
0,26.633333333333333,0.3,26.933333333333334,799,1080,1920,1,36.516496571081376,3.111321647896646,30.0,9,808,Car_snaroya_smestad
0,27.0,0.0,27.0,648,1080,1920,0,34.61757824674989,21.4034009946156,24.0,0,648,Car_snaroya_smestad
0,27.033333333333335,0.0,27.033333333333335,811,1080,1920,0,14.2797843224242,6.6985359883237345,30.0,0,811,Tram_ljabru_jernbanetorget
0,26.066666666666666,0.0,26.066666666666666,782,1080,1920,0,64.01331619785371,24.66584142488366,30.0,0,782,Tram_jernbanetorget_ljabru
0,26.066666666666666,0.0,26.066666666666666,782,1080,1920,0,64.01331619785371,24.66584142488366,30.0,0,782,Car_snaroya_smestad
0,27.033333333333335,4.2,31.233333333333334,811,1080,1920,1,14.2797843224242,6.6985359883237345,30.0,126,937,Metro_kalbakken_jernbanetorget
0,26.466666666666665,0.1,26.566666666666666,794,1080,1920,1,32.45626741582569,23.969860687024266,30.0,3,797,Train_vestby_oslo
0,27.933333333333334,3.3,31.233333333333334,838,1080,1920,6,51.2398822772529,12.835748041155938,30.0,99,937,Tram_ljabru_jernbanetorget
0,27.0,0.9166666666666666,27.916666666666668,648,1080,1920,2,34.61757824674989,21.4034009946156,24.0,22,670,Tram_ljabru_jernbanetorget
0,27.166666666666668,0.0,27.166666666666668,815,1080,1920,0,57.92489190208584,8.566515536550902,30.0,0,815,Tram_jernbanetorget_ljabru
0,26.066666666666666,0.0,26.066666666666666,782,1080,1920,0,64.01331619785371,24.66584142488366,30.0,0,782,Tram_ljabru_jernbanetorget
0,26.625,0.0,26.625,639,1080,1920,0,43.56221475321591,11.106231569191065,24.0,0,639,Tram_jernbanetorget_ljabru
0,26.066666666666666,0.0,26.066666666666666,782,1080,1920,0,64.01331619785371,24.66584142488366,30.0,0,782,Car_snaroya_smestad
0,27.0,0.0,27.0,810,1080,1920,0,45.25730181933437,6.47053159800503,30.0,0,810,Car_snaroya_smestad
0,26.633333333333333,0.0,26.633333333333333,799,1080,1920,0,36.516496571081376,3.111321647896646,30.0,0,799,Tram_ljabru_jernbanetorget
0,26.466666666666665,5.633333333333334,32.1,794,1080,1920,3,32.45626741582569,23.969860687024266,30.0,169,963,Bus_ljansbakken_oslo
0,27.933333333333334,0.0,27.933333333333334,838,1080,1920,0,51.2398822772529,12.835748041155938,30.0,0,838,Ferry_nesoddtangen_oslo
0,27.694333333333333,0.0,27.694333333333333,664,1080,1920,0,72.4592681682656,30.94810643457089,23.976023976023978,0,664,Car_snaroya_smestad
0,27.0,0.125,27.125,648,1080,1920,1,69.11774877987803,31.887388545502258,24.0,3,651,Train_vestby_oslo
0,26.401374999999998,0.0,26.401374999999998,633,1080,1920,0,48.80988581524824,30.562098419365153,23.976023976023978,0,633,Tram_jernbanetorget_ljabru
0,27.0,0.4666666666666667,27.466666666666665,810,1080,1920,1,45.25730181933437,6.47053159800503,30.0,14,824,Train_vestby_oslo
0,25.0,0.0,25.0,625,1080,1920,0,92.9468199053504,30.131945716916807,25.0,0,625,Metro_kalbakken_jernbanetorget
0,27.0,5.0,32.0,648,1080,1920,3,34.61757824674989,21.4034009946156,24.0,120,768,Bus_ljansbakken_oslo
0,27.0,0.0,27.0,810,1080,1920,0,45.25730181933437,6.47053159800503,30.0,0,810,Tram_jernbanetorget_ljabru
0,27.0,6.583333333333333,33.583333333333336,648,1080,1920,2,69.11774877987803,31.887388545502258,24.0,158,806,Bus_ljansbakken_oslo
0,27.933333333333334,0.0,27.933333333333334,838,1080,1920,0,51.2398822772529,12.835748041155938,30.0,0,838,Tram_jernbanetorget_ljabru
0,27.694333333333333,0.0,27.694333333333333,664,1080,1920,0,72.4592681682656,30.94810643457089,23.976023976023978,0,664,Metro_kalbakken_jernbanetorget
0,27.0,0.5416666666666666,27.541666666666668,648,1080,1920,1,69.11774877987803,31.887388545502258,24.0,13,661,Train_vestby_oslo
0,27.933333333333334,0.0,27.933333333333334,838,1080,1920,0,51.2398822772529,12.835748041155938,30.0,0,838,Tram_jernbanetorget_ljabru
0,27.133333333333333,0.0,27.133333333333333,814,1080,1920,0,24.465410465044613,9.669711446285113,30.0,0,814,Car_snaroya_smestad
0,27.033333333333335,0.0,27.033333333333335,811,1080,1920,0,14.2797843224242,6.6985359883237345,30.0,0,811,Car_snaroya_smestad
0,27.033333333333335,0.0,27.033333333333335,811,1080,1920,0,14.2797843224242,6.6985359883237345,30.0,0,811,Car_snaroya_smestad
0,27.533333333333335,0.0,27.533333333333335,826,1080,1920,0,46.559426250657445,6.704285474180124,30.0,0,826,Ferry_nesoddtangen_oslo
0,27.933333333333334,0.0,27.933333333333334,838,1080,1920,0,51.2398822772529,12.835748041155938,30.0,0,838,Car_snaroya_smestad
0,25.0,0.0,25.0,625,1080,1920,0,92.9468199053504,30.131945716916807,25.0,0,625,Train_vestby_oslo
0,27.533333333333335,0.13333333333333333,27.666666666666668,826,1080,1920,1,46.559426250657445,6.704285474180124,30.0,4,830,Tram_ljabru_jernbanetorget
0,25.0,4.32,29.32,625,1080,1920,3,92.9468199053504,30.131945716916807,25.0,108,733,Bus_ljansbakken_oslo
0,26.625,0.0,26.625,639,1080,1920,0,43.56221475321591,11.106231569191065,24.0,0,639,Tram_ljabru_jernbanetorget
0,27.694333333333333,0.0,27.694333333333333,664,1080,1920,0,72.4592681682656,30.94810643457089,23.976023976023978,0,664,Car_snaroya_smestad
0,26.401374999999998,0.0,26.401374999999998,633,1080,1920,0,48.80988581524824,30.562098419365153,23.976023976023978,0,633,Tram_jernbanetorget_ljabru
0,26.066666666666666,0.0,26.066666666666666,782,1080,1920,0,64.01331619785371,24.66584142488366,30.0,0,782,Ferry_nesoddtangen_oslo
0,27.133333333333333,0.0,27.133333333333333,814,1080,1920,0,24.465410465044613,9.669711446285113,30.0,0,814,Car_snaroya_smestad
0,27.166666666666668,0.0,27.166666666666668,815,1080,1920,0,57.92489190208584,8.566515536550902,30.0,0,815,Train_vestby_oslo
0,27.694333333333333,0.0,27.694333333333333,664,1080,1920,0,72.4592681682656,30.94810643457089,23.976023976023978,0,664,Car_snaroya_smestad
0,26.466666666666665,0.9,27.366666666666667,794,1080,1920,2,32.45626741582569,23.969860687024266,30.0,27,821,Tram_ljabru_jernbanetorget
0,25.0,4.32,29.32,625,1080,1920,3,92.9468199053504,30.131945716916807,25.0,108,733,Bus_ljansbakken_oslo
0,27.0,0.0,27.0,648,1080,1920,0,69.11774877987803,31.887388545502258,24.0,0,648,Ferry_nesoddtangen_oslo
0,26.466666666666665,0.8666666666666667,27.333333333333332,794,1080,1920,2,32.45626741582569,23.969860687024266,30.0,26,820,Car_snaroya_smestad
0,27.0,5.916666666666667,32.916666666666664,648,1080,1920,3,34.61757824674989,21.4034009946156,24.0,142,790,Bus_ljansbakken_oslo
0,27.133333333333333,0.0,27.133333333333333,814,1080,1920,0,24.465410465044613,9.669711446285113,30.0,0,814,Car_snaroya_smestad
0,26.625,0.0,26.625,639,1080,1920,0,43.56221475321591,11.106231569191065,24.0,0,639,Tram_ljabru_jernbanetorget
0,25.0,1.04,26.04,625,1080,1920,2,92.9468199053504,30.131945716916807,25.0,26,651,Car_snaroya_smestad
