,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,58,116,174,230,287,344,399,447,495,542,589,640,690,746.0,786.0,,
0,51,102,153,204,255,305,362,419,476,533,590,647,704,761.0,,,
0,34,68,123,178,233,285,337,389,441,493,545,594,646,698.0,750.0,,
0,50,100,148,207,266,325,384,441,472,503,559,615,671,727.0,783.0,,
0,44,88,132,176,220,262,307,352,397,441,487,533,579,,,,
0,43,86,129,172,215,258,301,340,384,428,472,516,560,604.0,,,
0,50,100,148,207,266,325,384,441,472,503,559,615,671,727.0,783.0,,
0,58,116,174,232,290,348,394,440,486,530,581,632,683,734.0,,,
0,39,78,118,158,198,242,286,330,374,418,462,506,550,594.0,,,
0,51,102,153,204,255,305,362,419,476,533,590,647,704,761.0,,,
0,58,116,174,230,287,344,399,447,495,542,589,640,690,746.0,786.0,,
0,44,88,132,176,220,262,307,352,397,441,487,533,579,,,,
0,45,90,135,180,222,260,298,336,372,415,458,502,546,588.0,614.0,,
0,39,78,118,158,198,242,286,330,374,418,462,506,550,594.0,,,
0,58,116,174,232,290,348,406,464,522,580,638,696,754,,,,
0,45,90,135,180,222,260,298,336,372,415,458,502,546,588.0,614.0,,
0,58,116,174,232,290,348,394,440,486,530,581,632,683,734.0,,,
0,43,86,129,169,214,259,304,347,393,439,485,531,577,623.0,,,
0,44,88,132,176,220,262,307,352,397,441,487,533,579,,,,
0,43,86,129,172,215,258,301,340,384,428,472,516,560,604.0,,,
0,43,86,129,172,215,258,301,340,384,428,472,516,560,604.0,,,
0,43,86,129,169,214,259,304,347,393,439,485,531,577,623.0,,,
0,35,70,122,174,226,278,326,386,440,494,548,602,656,710.0,764.0,,
0,45,90,135,180,222,260,298,336,372,415,458,502,546,588.0,614.0,,
0,55,110,163,223,282,327,386,445,482,518,574,625,675,735.0,,,
0,35,70,122,174,226,278,326,386,440,494,548,602,656,710.0,764.0,,
0,43,86,129,172,215,258,301,340,384,428,472,516,560,604.0,,,
0,58,116,174,230,287,344,399,447,495,542,589,640,690,746.0,786.0,,
0,49,98,147,194,250,306,362,418,474,530,586,642,698,754.0,,,
0,44,88,132,176,220,262,307,352,397,441,487,533,579,,,,
0,51,102,153,204,255,305,362,419,476,533,590,647,704,761.0,,,
0,39,78,118,158,198,242,286,330,374,418,462,506,550,594.0,,,
0,55,110,163,223,282,327,386,445,482,518,574,625,675,735.0,,,
0,51,102,153,204,255,305,362,419,476,533,590,647,704,761.0,,,
0,50,100,148,207,266,325,384,441,472,503,559,615,671,727.0,783.0,,
0,55,110,163,223,282,327,386,445,482,518,574,625,675,735.0,,,
0,55,110,163,223,282,327,386,445,482,518,574,625,675,735.0,,,
0,43,86,129,172,215,258,301,340,384,428,472,516,560,604.0,,,
0,35,70,122,174,226,278,326,386,440,494,548,602,656,710.0,764.0,,
0,45,90,135,180,222,260,298,336,372,415,458,502,546,588.0,614.0,,
0,58,116,174,232,290,348,406,464,522,580,638,696,754,,,,
0,55,110,163,223,282,327,386,445,482,518,574,625,675,735.0,,,
0,34,68,123,178,233,285,337,389,441,493,545,594,646,698.0,750.0,,
0,44,88,132,176,220,262,307,352,397,441,487,533,579,,,,
0,43,86,129,172,215,258,301,340,384,428,472,516,560,604.0,,,
0,43,86,129,169,214,259,304,347,393,439,485,531,577,623.0,,,
0,51,102,153,204,255,305,362,419,476,533,590,647,704,761.0,,,
0,51,102,153,204,255,305,362,419,476,533,590,647,704,761.0,,,
0,58,116,174,230,287,344,399,447,495,542,589,640,690,746.0,786.0,,
0,34,68,123,178,233,285,337,389,441,493,545,594,646,698.0,750.0,,
0,34,68,110,152,195,238,281,324,367,407,437,483,514,526.0,564.0,595.0,625.0
0,39,78,118,158,198,242,286,330,374,418,462,506,550,594.0,,,
0,51,102,153,204,255,305,362,419,476,533,590,647,704,761.0,,,
0,45,90,135,180,222,260,298,336,372,415,458,502,546,588.0,614.0,,
0,58,116,174,232,290,348,394,440,486,530,581,632,683,734.0,,,
0,49,98,147,194,250,306,362,418,474,530,586,642,698,754.0,,,
0,35,70,122,174,226,278,326,386,440,494,548,602,656,710.0,764.0,,
0,45,90,135,180,222,260,298,336,372,415,458,502,546,588.0,614.0,,
0,34,68,110,152,195,238,281,324,367,407,437,483,514,526.0,564.0,595.0,625.0
0,35,70,122,174,226,278,326,386,440,494,548,602,656,710.0,764.0,,
0,35,70,122,174,226,278,326,386,440,494,548,602,656,710.0,764.0,,
0,34,68,110,152,195,238,281,324,367,407,437,483,514,526.0,564.0,595.0,625.0
0,49,98,147,194,250,306,362,418,474,530,586,642,698,754.0,,,
0,43,86,129,172,215,258,301,340,384,428,472,516,560,604.0,,,
0,58,116,174,232,290,348,406,464,522,580,638,696,754,,,,
0,43,86,129,169,214,259,304,347,393,439,485,531,577,623.0,,,
0,58,116,174,230,287,344,399,447,495,542,589,640,690,746.0,786.0,,
0,44,88,132,176,220,262,307,352,397,441,487,533,579,,,,
0,45,90,135,180,222,260,298,336,372,415,458,502,546,588.0,614.0,,
0,50,100,148,207,266,325,384,441,472,503,559,615,671,727.0,783.0,,
0,58,116,174,232,290,348,406,464,522,580,638,696,754,,,,
0,58,116,174,232,290,348,406,464,522,580,638,696,754,,,,
0,34,68,123,178,233,285,337,389,441,493,545,594,646,698.0,750.0,,
0,58,116,174,232,290,348,406,464,522,580,638,696,754,,,,
0,58,116,174,232,290,348,394,440,486,530,581,632,683,734.0,,,
0,51,102,153,204,255,305,362,419,476,533,590,647,704,761.0,,,
0,50,100,148,207,266,325,384,441,472,503,559,615,671,727.0,783.0,,
0,44,88,132,176,220,262,307,352,397,441,487,533,579,,,,
0,43,86,129,172,215,258,301,340,384,428,472,516,560,604.0,,,
0,34,68,123,178,233,285,337,389,441,493,545,594,646,698.0,750.0,,
0,50,100,148,207,266,325,384,441,472,503,559,615,671,727.0,783.0,,
0,35,70,122,174,226,278,326,386,440,494,548,602,656,710.0,764.0,,
0,51,102,153,204,255,305,362,419,476,533,590,647,704,761.0,,,
0,43,86,129,169,214,259,304,347,393,439,485,531,577,623.0,,,
0,58,116,174,232,290,348,394,440,486,530,581,632,683,734.0,,,
0,43,86,129,172,215,258,301,340,384,428,472,516,560,604.0,,,
0,51,102,153,204,255,305,362,419,476,533,590,647,704,761.0,,,
0,43,86,129,169,214,259,304,347,393,439,485,531,577,623.0,,,
0,34,68,123,178,233,285,337,389,441,493,545,594,646,698.0,750.0,,
0,43,86,129,172,215,258,301,340,384,428,472,516,560,604.0,,,
0,58,116,174,232,290,348,406,464,522,580,638,696,754,,,,
0,58,116,174,232,290,348,394,440,486,530,581,632,683,734.0,,,
0,58,116,174,232,290,348,394,440,486,530,581,632,683,734.0,,,
0,58,116,174,232,290,348,406,464,522,580,638,696,754,,,,
0,55,110,163,223,282,327,386,445,482,518,574,625,675,735.0,,,
0,50,100,148,207,266,325,384,441,472,503,559,615,671,727.0,783.0,,
0,43,86,129,172,215,258,301,340,384,428,472,516,560,604.0,,,
0,35,70,122,174,226,278,326,386,440,494,548,602,656,710.0,764.0,,
0,58,116,174,232,290,348,394,440,486,530,581,632,683,734.0,,,
0,45,90,135,180,222,260,298,336,372,415,458,502,546,588.0,614.0,,
0,58,116,174,232,290,348,394,440,486,530,581,632,683,734.0,,,
0,49,98,147,194,250,306,362,418,474,530,586,642,698,754.0,,,
0,34,68,123,178,233,285,337,389,441,493,545,594,646,698.0,750.0,,
0,55,110,163,223,282,327,386,445,482,518,574,625,675,735.0,,,
0,50,100,148,207,266,325,384,441,472,503,559,615,671,727.0,783.0,,
0,43,86,129,169,214,259,304,347,393,439,485,531,577,623.0,,,
0,34,68,110,152,195,238,281,324,367,407,437,483,514,526.0,564.0,595.0,625.0
0,39,78,118,158,198,242,286,330,374,418,462,506,550,594.0,,,
0,49,98,147,194,250,306,362,418,474,530,586,642,698,754.0,,,
0,44,88,132,176,220,262,307,352,397,441,487,533,579,,,,
0,43,86,129,172,215,258,301,340,384,428,472,516,560,604.0,,,
0,49,98,147,194,250,306,362,418,474,530,586,642,698,754.0,,,
0,34,68,110,152,195,238,281,324,367,407,437,483,514,526.0,564.0,595.0,625.0
0,50,100,148,207,266,325,384,441,472,503,559,615,671,727.0,783.0,,
0,43,86,129,169,214,259,304,347,393,439,485,531,577,623.0,,,
0,34,68,110,152,195,238,281,324,367,407,437,483,514,526.0,564.0,595.0,625.0
0,50,100,148,207,266,325,384,441,472,503,559,615,671,727.0,783.0,,
0,51,102,153,204,255,305,362,419,476,533,590,647,704,761.0,,,
0,58,116,174,232,290,348,406,464,522,580,638,696,754,,,,
0,58,116,174,232,290,348,406,464,522,580,638,696,754,,,,
0,58,116,174,230,287,344,399,447,495,542,589,640,690,746.0,786.0,,
0,50,100,148,207,266,325,384,441,472,503,559,615,671,727.0,783.0,,
0,44,88,132,176,220,262,307,352,397,441,487,533,579,,,,
0,58,116,174,230,287,344,399,447,495,542,589,640,690,746.0,786.0,,
0,44,88,132,176,220,262,307,352,397,441,487,533,579,,,,
0,45,90,135,180,222,260,298,336,372,415,458,502,546,588.0,614.0,,
0,43,86,129,169,214,259,304,347,393,439,485,531,577,623.0,,,
0,39,78,118,158,198,242,286,330,374,418,462,506,550,594.0,,,
0,58,116,174,232,290,348,394,440,486,530,581,632,683,734.0,,,
0,51,102,153,204,255,305,362,419,476,533,590,647,704,761.0,,,
0,35,70,122,174,226,278,326,386,440,494,548,602,656,710.0,764.0,,
0,43,86,129,169,214,259,304,347,393,439,485,531,577,623.0,,,
0,55,110,163,223,282,327,386,445,482,518,574,625,675,735.0,,,
0,44,88,132,176,220,262,307,352,397,441,487,533,579,,,,
0,34,68,110,152,195,238,281,324,367,407,437,483,514,526.0,564.0,595.0,625.0
0,55,110,163,223,282,327,386,445,482,518,574,625,675,735.0,,,
0,43,86,129,172,215,258,301,340,384,428,472,516,560,604.0,,,
0,51,102,153,204,255,305,362,419,476,533,590,647,704,761.0,,,
0,45,90,135,180,222,260,298,336,372,415,458,502,546,588.0,614.0,,
0,44,88,132,176,220,262,307,352,397,441,487,533,579,,,,
0,50,100,148,207,266,325,384,441,472,503,559,615,671,727.0,783.0,,
0,55,110,163,223,282,327,386,445,482,518,574,625,675,735.0,,,
0,58,116,174,230,287,344,399,447,495,542,589,640,690,746.0,786.0,,
0,39,78,118,158,198,242,286,330,374,418,462,506,550,594.0,,,
0,49,98,147,194,250,306,362,418,474,530,586,642,698,754.0,,,
0,43,86,129,169,214,259,304,347,393,439,485,531,577,623.0,,,
0,50,100,148,207,266,325,384,441,472,503,559,615,671,727.0,783.0,,
0,55,110,163,223,282,327,386,445,482,518,574,625,675,735.0,,,
0,58,116,174,232,290,348,394,440,486,530,581,632,683,734.0,,,
0,55,110,163,223,282,327,386,445,482,518,574,625,675,735.0,,,
0,45,90,135,180,222,260,298,336,372,415,458,502,546,588.0,614.0,,
0,49,98,147,194,250,306,362,418,474,530,586,642,698,754.0,,,
0,45,90,135,180,222,260,298,336,372,415,458,502,546,588.0,614.0,,
0,58,116,174,230,287,344,399,447,495,542,589,640,690,746.0,786.0,,
0,34,68,123,178,233,285,337,389,441,493,545,594,646,698.0,750.0,,
0,43,86,129,169,214,259,304,347,393,439,485,531,577,623.0,,,
0,34,68,123,178,233,285,337,389,441,493,545,594,646,698.0,750.0,,
0,39,78,118,158,198,242,286,330,374,418,462,506,550,594.0,,,
0,39,78,118,158,198,242,286,330,374,418,462,506,550,594.0,,,
0,43,86,129,169,214,259,304,347,393,439,485,531,577,623.0,,,
0,44,88,132,176,220,262,307,352,397,441,487,533,579,,,,
0,45,90,135,180,222,260,298,336,372,415,458,502,546,588.0,614.0,,
0,43,86,129,172,215,258,301,340,384,428,472,516,560,604.0,,,
0,45,90,135,180,222,260,298,336,372,415,458,502,546,588.0,614.0,,
0,35,70,122,174,226,278,326,386,440,494,548,602,656,710.0,764.0,,
0,44,88,132,176,220,262,307,352,397,441,487,533,579,,,,
0,34,68,110,152,195,238,281,324,367,407,437,483,514,526.0,564.0,595.0,625.0
0,58,116,174,232,290,348,394,440,486,530,581,632,683,734.0,,,
0,45,90,135,180,222,260,298,336,372,415,458,502,546,588.0,614.0,,
0,44,88,132,176,220,262,307,352,397,441,487,533,579,,,,
0,43,86,129,169,214,259,304,347,393,439,485,531,577,623.0,,,
0,58,116,174,230,287,344,399,447,495,542,589,640,690,746.0,786.0,,
0,49,98,147,194,250,306,362,418,474,530,586,642,698,754.0,,,
0,58,116,174,230,287,344,399,447,495,542,589,640,690,746.0,786.0,,
0,34,68,123,178,233,285,337,389,441,493,545,594,646,698.0,750.0,,
0,58,116,174,230,287,344,399,447,495,542,589,640,690,746.0,786.0,,
0,34,68,110,152,195,238,281,324,367,407,437,483,514,526.0,564.0,595.0,625.0
0,50,100,148,207,266,325,384,441,472,503,559,615,671,727.0,783.0,,
0,49,98,147,194,250,306,362,418,474,530,586,642,698,754.0,,,
0,35,70,122,174,226,278,326,386,440,494,548,602,656,710.0,764.0,,
0,34,68,123,178,233,285,337,389,441,493,545,594,646,698.0,750.0,,
0,39,78,118,158,198,242,286,330,374,418,462,506,550,594.0,,,
0,34,68,123,178,233,285,337,389,441,493,545,594,646,698.0,750.0,,
0,55,110,163,223,282,327,386,445,482,518,574,625,675,735.0,,,
0,43,86,129,169,214,259,304,347,393,439,485,531,577,623.0,,,
0,43,86,129,169,214,259,304,347,393,439,485,531,577,623.0,,,
0,49,98,147,194,250,306,362,418,474,530,586,642,698,754.0,,,
0,55,110,163,223,282,327,386,445,482,518,574,625,675,735.0,,,
0,58,116,174,232,290,348,406,464,522,580,638,696,754,,,,
0,51,102,153,204,255,305,362,419,476,533,590,647,704,761.0,,,
0,55,110,163,223,282,327,386,445,482,518,574,625,675,735.0,,,
0,58,116,174,232,290,348,394,440,486,530,581,632,683,734.0,,,
0,50,100,148,207,266,325,384,441,472,503,559,615,671,727.0,783.0,,
0,34,68,110,152,195,238,281,324,367,407,437,483,514,526.0,564.0,595.0,625.0
0,39,78,118,158,198,242,286,330,374,418,462,506,550,594.0,,,
0,58,116,174,232,290,348,406,464,522,580,638,696,754,,,,
0,58,116,174,232,290,348,394,440,486,530,581,632,683,734.0,,,
0,49,98,147,194,250,306,362,418,474,530,586,642,698,754.0,,,
0,43,86,129,172,215,258,301,340,384,428,472,516,560,604.0,,,
0,43,86,129,172,215,258,301,340,384,428,472,516,560,604.0,,,
0,58,116,174,230,287,344,399,447,495,542,589,640,690,746.0,786.0,,
0,43,86,129,172,215,258,301,340,384,428,472,516,560,604.0,,,
0,58,116,174,232,290,348,394,440,486,530,581,632,683,734.0,,,
0,50,100,148,207,266,325,384,441,472,503,559,615,671,727.0,783.0,,
0,35,70,122,174,226,278,326,386,440,494,548,602,656,710.0,764.0,,
0,39,78,118,158,198,242,286,330,374,418,462,506,550,594.0,,,
0,34,68,110,152,195,238,281,324,367,407,437,483,514,526.0,564.0,595.0,625.0
0,34,68,110,152,195,238,281,324,367,407,437,483,514,526.0,564.0,595.0,625.0
0,58,116,174,232,290,348,406,464,522,580,638,696,754,,,,
0,35,70,122,174,226,278,326,386,440,494,548,602,656,710.0,764.0,,
